sugars_100g,fat_100g
15.0,7.0
0.4,0.0
3.0,3.0
3.9,0.3
16.3,4.9
1.8,3.3
2.0,9.4
1.7,5.9
21.9,22.0
23.0,0.0
20.0,21.0
7.5,3.3
0.0,0.0
27.0,0.0
0.9,9.1
1.2,2.2
1.0,12.7
0.6,6.7
3.8,3.7
1.4,2.3
1.0,4.5
2.1,0.2
21.6,5.6
10.0,2.0
1.0,7.2
4.6,4.4
0.1,25.0
11.0,0.2
38.0,5.7
1.4,8.1
14.29,28.57
17.86,17.86
1.3,1.4
17.4,5.9
0.1,33.0
0.7,0.3
0.9,13.0
3.0,5.0
1.7,6.2
2.3,5.1
0.6,2.2
1.6,5.6
0.5,17.0
2.0,16.0
1.0,15.0
6.5,8.5
1.0,1.3
2.0,4.5
1.4,2.3
0.9,4.1
2.0,5.8
0.0,29.0
3.3,4.1
1.9,10.0
4.1,4.8
63.0,0.1
1.9,7.1
55.0,0.1
1.6,5.6
1.9,14.0
0.01,0.5
1.9,3.7
3.57,57.14
11.54,18.27
15.62,18.75
42.5,37.5
3.33,36.67
29.8,20.1
21.82,18.18
3.57,60.71
16.67,26.67
2.22,2.22
2.38,5.95
32.5,17.5
30.0,33.33
27.27,10.91
6.67,50.0
33.33,20.0
5.56,22.22
6.67,46.67
6.67,43.33
3.33,46.67
6.67,30.0
11.11,6.67
37.5,35.0
35.71,32.14
3.92,21.57
29.09,9.09
23.21,28.57
7.0,65.0
21.43,17.86
37.5,35.0
21.82,14.55
0.0,0.0
0.0,0.0
8.51,5.32
8.89,1.11
9.09,25.45
32.3,28.6
12.73,14.55
23.64,4.55
21.43,8.93
12.3,0.4
1.54,9.23
5.36,2.68
1.72,1.72
5.17,1.72
2.94,2.94
25.45,10.91
14.29,42.86
21.6,5.6
6.67,50.0
3.57,50.0
3.57,46.43
3.57,57.14
3.57,57.14
32.0,28.0
33.33,26.67
3.52,70.42
6.67,56.67
16.3,5.8
5.77,1.92
8.57,1.43
26.67,6.67
36.67,26.67
57.5,27.5
2.94,41.18
47.5,20.0
16.36,16.36
1.6,8.5
2.5,7.5
2.22,3.33
2.22,2.22
66.67,0.0
52.5,0.0
14.29,28.57
21.82,14.55
65.0,2.5
42.5,22.5
17.86,17.86
1.0,26.0
10.71,46.43
10.71,46.43
65.7,0.1
4.05,48.65
3.33,50.0
7.04,70.42
5.88,47.06
0.0,18.0
6.41,0.0
29.0,6.0
82.0,0.0
58.0,15.0
58.0,38.0
13.8,13.7
0.25,9.0
99.0,0.0
35.0,20.0
0.0,91.5
37.0,14.0
0.5,2.2
1.4,4.2
2.0,5.7
0.0,12.0
61.0,16.0
6.0,0.0
71.0,0.5
22.0,31.0
2.7,29.0
25.0,25.0
59.0,20.0
28.1,14.4
2.1,2.5
13.8,0.3
69.8,15.3
4.4,0.5
2.4,21.0
1.0,1.0
85.4,7.3
85.4,7.3
2.2,4.8
54.0,15.0
24.7,10.7
14.0,2.7
20.0,4.5
70.0,15.0
9.67,0.0
11.0,6.0
3.3,2.4
54.0,15.0
50.8,30.5
54.0,15.0
2.1,4.7
1.7,17.8
70.0,15.0
1.11,1.11
0.1,5.2
3.0,4.4
0.0,0.0
24.0,16.0
12.7,0.0
0.7140000000000001,6.79
66.0,0.5
93.3,0.0
32.6,39.1
50.4,36.7
51.7,36.8
0.1,0.1
58.9,31.2
75.0,1.0
75.0,1.0
70.54,10.41
70.04,10.34
69.97,10.29
0.0,0.0
42.0,7.0
81.67,6.42
0.0,0.25
0.0,86.67
0.0,76.0
0.0,80.0
81.67,6.42
55.0,31.0
41.3,36.7
58.0,38.0
58.0,38.0
58.0,38.0
65.0,0.0
55.7,30.1
84.7,4.8
84.7,4.8
84.7,4.8
84.7,4.8
84.7,4.8
84.7,4.8
96.2,0.0
96.5,0.0
23.0,23.0
20.0,24.0
36.29,43.04
43.67,40.92
24.61,40.4
44.0,34.0
41.0,38.0
50.0,18.0
53.9,3.4
15.0,2.1
0.1,15.0
19.0,6.0
36.0,37.0
43.0,38.0
1.9,5.2
1.8,7.2
59.0,0.0
5.19,16.88
25.93,15.74
2.13,4.26
2.67,20.0
9.33,16.0
37.17,17.7
4.71,1.18
30.59,25.88
28.24,22.35
35.71,21.43
32.94,21.76
25.88,15.88
0.0,0.0
23.58,13.82
32.14,21.43
18.82,22.35
15.29,22.35
32.41,18.52
21.43,21.43
11.67,23.33
22.03,18.64
0.0,3.51
0.0,50.0
37.0,13.0
46.0,17.0
51.5,33.3
29.41,22.35
46.43,39.29
0.9,48.2
2.9,1.1
2.9,1.1
2.2,1.2
1.2,1.1
2.9,1.1
15.0,13.0
14.0,17.0
19.0,15.0
0.0,0.0
17.0,24.0
12.0,23.0
12.0,27.0
16.0,15.0
5.1,1.5
16.0,8.4
44.0,7.0
44.0,7.0
50.09,19.7
1.6,83.0
0.0,0.0
19.0,12.0
5.0,35.0
50.0,31.0
44.2,27.9
22.0,22.0
50.0,31.0
2.0,13.0
40.3,8.4
6.9,21.0
4.7,0.2
3.8,0.2
51.6,30.5
10.4,0.0
3.3,4.6
21.5,0.2
17.0,23.5
17.0,23.8
59.0,0.0
64.8,0.0
65.0,0.1
56.0,0.0
0.0,0.0
12.0,37.0
20.8,13.0
0.7,12.0
10.7,0.1
0.0,0.1
32.7,42.5
1.0,2.6
35.0,20.0
3.6,6.5
0.1,0.9
0.0,10.3
0.8,3.1
1.0,10.0
8.4,0.4
1.6,4.9
0.5,7.2
2.8,9.9
1.5,2.5
12.8,9.6
2.8,5.6
2.5,1.2
1.5,6.3
0.6,16.3
3.5,24.1
4.2,0.8
1.0,9.0
2.6,5.9
3.7,6.6
1.6,8.1
0.5,15.0
0.01,3.3
0.1,11.9
0.3,4.0
1.6,17.0
3.0,8.9
3.6,2.1
2.4,2.5
2.0,11.0
1.4,14.9
2.0,7.6
16.5,10.5
24.3,28.2
2.9,18.0
0.5,10.3
0.6,6.0
1.1,7.4
2.2,7.9
1.0,0.4
0.6,0.6
28.2,22.6
1.2,2.0
2.8,14.6
1.7,9.5
30.2,20.3
1.0,14.0
1.0,17.0
2.0,12.0
6.5,24.6
2.4,8.0
1.2,16.0
0.9,18.0
1.8,12.0
1.4,14.0
1.1,9.4
1.2,13.0
0.8,13.0
4.2,16.5
4.1,20.4
1.7,18.6
2.1,7.4
2.6,11.0
0.6,11.0
1.3,2.5
0.1,8.0
1.7,15.0
15.8,4.2
25.0,8.0
17.3,10.9
1.5,10.9
7.3,13.2
2.5,0.9
14.0,0.0
0.0,0.0
47.1,27.0
0.5,2.0
0.0,92.0
2.86,0.0
0.15,42.2
1.2,0.5
22.8,0.1
22.8,0.1
10.4,0.0
2.6,1.8
2.3,4.1
22.5,21.8
3.0,5.0
3.1,5.0
26.0,23.0
32.0,48.0
0.2,22.7
91.2,6.0
0.0,71.43
0.0,57.14
0.0,13.3
8.77,2.63
31.0,25.0
53.6,34.7
35.0,0.3
30.53,25.95
38.6,20.0
26.6,9.2
1.0,56.0
19.0,5.4
2.94,2.94
20.0,9.6
16.0,10.0
21.1,13.8
